requisito_id;curso_id;materia_id;nivel;inscritos;nombre_materia;cantidad_docente;seccion;clase_compartida;tipo_materia;horas_semanales_tipicas;frecuencia_semanal;duracion_sesion_horas;horario_entrada;horario_salida;lunes;martes;miercoles;jueves;viernes
25092;1°Inv (A);SR-ITC-001;Intensivo;32;Solfeo-Ritmica;1;Todos;Individual;Regular;2;2;1;17:00:00;21:00:00;1;0;1;0;1
25101;1°Inv (B);SR-ITC-001;Intensivo;32;Solfeo-Ritmica;1;Todos;Individual;Regular;2;2;1;17:00:00;21:00:00;1;0;1;0;1
25093;1°Inv (A);TM-ITC-001;Intensivo;32;Teoria de la Musica;1;Todos;Individual;Regular;1;1;1;17:00:00;21:00:00;1;0;1;0;1
25102;1°Inv (B);TM-ITC-001;Intensivo;32;Teoria de la Musica;1;Todos;Individual;Regular;1;1;1;17:00:00;21:00:00;1;0;1;0;1
25094;1°Inv (A);DIM-ITC-001;Intensivo;32;Dictado Musical;1;Todos;Individual;Regular;1;1;1;17:00:00;21:00:00;1;0;1;0;1
25103;1°Inv (B);DIM-ITC-001;Intensivo;32;Dictado Musical;1;Todos;Individual;Regular;1;1;1;17:00:00;21:00:00;1;0;1;0;1
25095;1°Inv (A);AMT-ITC-001;Intensivo;32;Apreciacion Musical;1;Todos;Individual;Regular;1;1;1;17:00:00;21:00:00;1;0;1;0;1
25104;1°Inv (B);AMT-ITC-001;Intensivo;32;Apreciacion Musical;1;Todos;Individual;Regular;1;1;1;17:00:00;21:00:00;1;0;1;0;1
25096;1°Inv (A);FD-ITC-001;Intensivo;32;Flauta Dulce;1;Todos;Individual;Regular;2;2;1;17:00:00;21:00:00;1;0;1;0;1
25105;1°Inv (B);FD-ITC-001;Intensivo;32;Flauta Dulce;1;Todos;Individual;Regular;2;2;1;17:00:00;21:00:00;1;0;1;0;1
25097;1°Inv (A);TC-ITC-001;Intensivo;32;Teclado;1;Todos;Individual;Regular;2;2;1;17:00:00;21:00:00;1;0;1;0;1
25106;1°Inv (B);TC-ITC-001;Intensivo;32;Teclado;1;Todos;Individual;Regular;2;2;1;17:00:00;21:00:00;1;0;1;0;1
25098;1°Inv (A);PC-ITC-001;Intensivo;32;Practica Coral (J);2;Canto;Practica Coral (J);Regular;2;2;1;17:00:00;21:00:00;1;0;1;0;1
25107;1°Inv (B);PC-ITC-001;Intensivo;32;Practica Coral (J);2;Canto;Practica Coral (J);Regular;2;2;1;17:00:00;21:00:00;1;0;1;0;1
25100;1°Inv (A);INI-ITC-001;Intensivo;32;Iniciacion Instrumental;4;Todos;Individual;Regular;1;1;1;17:00:00;21:00:00;1;0;1;0;1
25109;1°Inv (B);INI-ITC-001;Intensivo;32;Iniciacion Instrumental;4;Todos;Individual;Regular;1;1;1;17:00:00;21:00:00;1;0;1;0;1
25110;2°Inv;SR-ITC-002;Intensivo;32;Solfeo-Ritmica;1;Todos;Individual;Regular;2;2;1;17:00:00;21:00:00;1;0;1;0;1
25111;2°Inv;TM-ITC-002;Intensivo;32;Teoria de la Musica;1;Todos;Individual;Regular;2;2;1;17:00:00;21:00:00;1;0;1;0;1
25112;2°Inv;DM-ITC-002;Intensivo;32;Dictado Musical;1;Todos;Individual;Regular;2;2;1;17:00:00;21:00:00;1;0;1;0;1
25113;2°Inv;FD-ITC-002;Intensivo;32;Flauta Dulce;1;Todos;Individual;Regular;1;1;1;17:00:00;21:00:00;1;0;1;0;1
25114;2°Inv;TC-ITC-002;Intensivo;32;Teclado;1;Todos;Individual;Regular;1;1;1;17:00:00;21:00:00;1;0;1;0;1
25115;2°Inv;CJ-ITC-001;Intensivo;32;Practica Coral (CJ);2;Direccion;Practica Coral (CJ);Regular;2;2;1;17:00:00;21:00:00;1;0;1;0;1
25117;2°Inv;OF-ITC-001;Intensivo;32;Orquesta Folklorica (A);2;Todos;Orquesta Folklorica (A);Regular;2;2;1;17:00:00;21:00:00;1;0;1;0;1
25118;3°Inv;SR-ITC-003;Intensivo;33;Solfeo-Ritmica;1;Todos;Individual;Regular;2;2;1;17:00:00;21:00:00;1;0;1;0;1
25119;3°Inv;TM-ITC-003;Intensivo;33;Teoria de la Musica;1;Todos;Individual;Regular;2;2;1;17:00:00;21:00:00;1;0;1;0;1
25120;3°Inv;DM-ITC-003;Intensivo;33;Dictado Musical;1;Todos;Individual;Regular;2;2;1;17:00:00;21:00:00;1;0;1;0;1
25121;3°Inv;FD-ITC-003;Intensivo;33;Flauta Dulce;1;Todos;Individual;Regular;1;1;1;17:00:00;21:00:00;1;0;1;0;1
25122;3°Inv;TC-ITC-003;Intensivo;33;Teclado;1;Todos;Individual;Regular;1;1;1;17:00:00;21:00:00;1;0;1;0;1
25123;3°Inv;CJ-ITC-002;Intensivo;33;Practica Coral (CJ);2;Direccion;Practica Coral (CJ);Regular;2;2;1;17:00:00;21:00:00;1;0;1;0;1
25125;3°Inv;OF-ITC-002;Intensivo;33;Orquesta Folklorica (A);2;Todos;Orquesta Folklorica (A);Regular;2;2;1;17:00:00;21:00:00;1;0;1;0;1
25126;1°Int;SR-IMC-001;Intermedio;27;Solfeo-Ritmica;1;Todos;Individual;Regular;2;2;1;17:00:00;21:00:00;1;0;1;0;1
25127;1°Int;DM-IMC-001;Intermedio;27;Dictado Musical;1;Todos;Individual;Regular;1;1;1;17:00:00;21:00:00;1;0;1;0;1
25128;1°Int;ARM-IMC-001;Intermedio;27;Armonia;1;Piano;Individual;Regular;1;1;1;17:00:00;21:00:00;1;0;1;0;1
25129;1°Int;TV-IMC-001;Intermedio;27;Tecnica Vocal;1;Canto;Individual;Regular;1;1;1;17:00:00;21:00:00;1;0;1;0;1
25130;1°Int;HA-IMC-001;Intermedio;27;Historia del Arte;1;Todos;Individual;Regular;1;1;1;17:00:00;21:00:00;1;0;1;0;1
25131;1°Int;CJ-IMC-001;Intermedio;27;Practica Coral (CJ);2;Direccion;Practica Coral (CJ);Regular;3;3;1;17:00:00;21:00:00;1;0;1;0;1
25133;1°Int;OF-IMC-001;Intermedio;27;Orquesta Folklorica (B);2;Todos;Orquesta Folklorica (B);Regular;3;3;1;17:00:00;21:00:00;1;0;1;0;1
25134;2°Int;SR-IMC-002;Intermedio;17;Solfeo-Ritmica;1;Todos;Individual;Regular;2;2;1;17:00:00;21:00:00;1;0;1;0;1
25135;2°Int;DM-IMC-002;Intermedio;17;Dictado Musical;1;Todos;Individual;Regular;1;1;1;17:00:00;21:00:00;1;0;1;0;1
25136;2°Int;ARM-IMC-002;Intermedio;17;Armonia;1;Piano;Individual;Regular;1;1;1;17:00:00;21:00:00;1;0;1;0;1
25137;2°Int;ANM-IMC-001;Intermedio;17;Analisis Musical;1;Todos;Individual;Regular;1;1;1;17:00:00;21:00:00;1;0;1;0;1
25138;2°Int;HA-IMC-002;Intermedio;17;Historia del Arte;1;Todos;Individual;Regular;1;1;1;17:00:00;21:00:00;1;0;1;0;1
25139;2°Int;CJ-IMC-002;Intermedio;17;Practica Coral (CJ);2;Direccion;Practica Coral (CJ);Regular;3;3;1;17:00:00;21:00:00;1;0;1;0;1
25141;2°Int;OF-IMC-002;Intermedio;17;Orquesta Folklorica (B);2;Direccion;Orquesta Folklorica (B);Regular;3;3;1;17:00:00;21:00:00;1;0;1;0;1
25142;3°Int;SR-IMC-003;Intermedio;7;Solfeo-Ritmica;1;Todos;Individual;Regular;2;2;1;17:00:00;21:00:00;1;0;1;0;1
25143;3°Int;DM-IMC-003;Intermedio;7;Dictado Musical;1;Todos;Individual;Regular;1;1;1;17:00:00;21:00:00;1;0;1;0;1
25144;3°Int;AR-IMC-003;Intermedio;7;Armonia;1;Piano;Individual;Regular;1;1;1;17:00:00;21:00:00;1;0;1;0;1
25145;3°Int;ANM-IMC-002;Intermedio;7;Analisis Musical;1;Todos;Individual;Regular;1;1;1;17:00:00;21:00:00;1;0;1;0;1
25146;3°Int;HM-IMC-001;Intermedio;7;Historia de la Musica;1;Todos;Individual;Regular;1;1;1;17:00:00;21:00:00;1;0;1;0;1
25147;3°Int;CJ-IMC-003;Intermedio;7;Practica Coral (CJ);2;Direccion;Practica Coral (CJ);Regular;3;3;1;17:00:00;21:00:00;1;0;1;0;1
25149;3°Int;OF-IMC-003;Intermedio;7;Orquesta Folklorica (B);2;Todos;Orquesta Folklorica (B);Regular;3;3;1;17:00:00;21:00:00;1;0;1;0;1
35001;Orquestal;INC-OC;3°Ini-3°Int;200;Inc. Orq Cuerdas;2;Cuerda;Individual;Orquestal;4;2;2;15:00:00;21:00:00;0;1;0;1;0
35002;Orquestal;INC-OG;3°Ini-3°Int;200;Inc. Orq Guitarra;1;Guitarra;Individual;Orquestal;4;2;2;15:00:00;21:00:00;0;1;0;1;0
35003;Orquestal;INC-FL;3°Ini-3°Int;200;Inc. Orq Flautas;1;Viento;Individual;Orquestal;4;2;2;15:00:00;21:00:00;0;1;0;1;0
35004;Orquestal;OCA;3°Ini-3°Int;200;Orquesta de Cuerdas (A);1;Cuerda;Individual;Orquestal;4;2;2;15:00:00;21:00:00;0;1;0;1;0
35005;Orquestal;OGA;3°Ini-3°Int;200;Orquesta de Guitarras (A);1;Guitarra;Individual;Orquestal;4;2;2;15:00:00;21:00:00;0;1;0;1;0
35006;Orquestal;OVA;3°Ini-3°Int;200;Orquesta de Vientos (A);1;Piano;Individual;Orquestal;4;2;2;15:00:00;21:00:00;0;1;0;1;0
35007;Orquestal;OPA;3°Ini-3°Int;200;Orquesta de Percusión (A);1;Percusion;Individual;Orquestal;2;1;2;15:00:00;21:00:00;0;1;0;1;0
35008;Orquestal;OCB;3°Ini-3°Int;200;Orquesta de Cuerdas (B);1;Cuerda;Individual;Orquestal;4;2;2;15:00:00;21:00:00;0;1;0;1;0
35009;Orquestal;OGB;3°Ini-3°Int;200;Orquesta de Guitarras (B);1;Guitarra;Individual;Orquestal;4;2;2;15:00:00;21:00:00;0;1;0;1;0
35010;Orquestal;OVB;3°Ini-3°Int;200;Orquesta de Vientos (B);1;Piano;Individual;Orquestal;4;2;2;15:00:00;21:00:00;0;1;0;1;0
35011;Orquestal;OPB;3°Ini-3°Int;200;Orquestas de Precusion (B);1;Percusion;Individual;Orquestal;2;1;2;15:00:00;21:00:00;0;1;0;1;0
35012;Orquestal;OS;3°Ini-3°Int;200;Orquesta Sinfonica;1;Direccion;Individual;Orquestal;2;1;2;15:00:00;21:00:00;0;1;0;1;0
